dataset_params.dim,dataset_params.n_samples,model.hidden_dims,model,seed,set,MSE,MAPE
6,50000,[320|320|320|320|320],effn_w5_d320,777,test,0.43746330081111845,0.0868551024997126
6,50000,[320|320|320|320|320],effn_w5_d320,777,train,0.23225653555825226,0.06644776195649033
15,50000,[160|160|160|160|160],effn_w5_d320,777,val,1.174122237640323,0.1130862746343109
15,50000,[160|160|160|160|160],effn_w5_d320,777,test,1.1871929913996675,0.1137452109877776
15,50000,[160|160|160|160|160],effn_w5_d320,777,train,0.3718574653644411,0.06780181749547202
3,50000,[40|40|40|40|40],effn_w5_d320,777,val,0.20779767287171672,0.07411824395138095
3,50000,[40|40|40|40|40],effn_w5_d320,777,test,0.20843026951736182,0.0748926470193262
3,50000,[40|40|40|40|40],effn_w5_d320,777,train,0.17877099523026688,0.07068403176621278
20,50000,[80|80|80|80|80],effn_w5_d320,777,val,1.6941163987751486,0.1293680787390519
20,50000,[80|80|80|80|80],effn_w5_d320,777,test,1.7216566355409093,0.1299866493917124
20,50000,[80|80|80|80|80],effn_w5_d320,777,train,0.7443586323169191,0.08817342320893408
14,50000,[320|320|320|320|320],effn_w5_d320,777,val,0.8508386310654629,0.0973328850505731
14,50000,[320|320|320|320|320],effn_w5_d320,777,test,0.9003847647207093,0.099486607518605
14,50000,[320|320|320|320|320],effn_w5_d320,777,train,0.17098845602876359,0.046430486210401106
4,50000,[320|320|320|320|320],effn_w5_d320,777,val,0.06559964442725805,0.03190157069854964
4,50000,[320|320|320|320|320],effn_w5_d320,777,test,0.060681118851731414,0.0312030504465312
4,50000,[320|320|320|320|320],effn_w5_d320,777,train,0.017108500857336277,0.0213929056187067
5,50000,[80|80|80|80|80],effn_w5_d320,777,val,0.40729219234316993,0.0915808562904411
5,50000,[80|80|80|80|80],effn_w5_d320,777,test,0.41789470233700404,0.092712978102415
5,50000,[80|80|80|80|80],effn_w5_d320,777,train,0.2968216926240485,0.08070497655856872
9,50000,[320|320|320|320|320],effn_w5_d320,777,val,0.5874596258462129,0.09200842109014502
9,50000,[320|320|320|320|320],effn_w5_d320,777,test,0.6071931122949927,0.0939627350608538
9,50000,[320|320|320|320|320],effn_w5_d320,777,train,0.2505508894509037,0.06252381719964267
13,50000,[20|20|20|20|20],effn_w5_d320,777,val,2.0363408129904994,0.16559255392217961
13,50000,[20|20|20|20|20],effn_w5_d320,777,test,2.0381120895212796,0.16584916513721001
13,50000,[20|20|20|20|20],effn_w5_d320,777,train,1.8488155808881332,0.15763458840022318
11,50000,[320|320|320|320|320],effn_w5_d320,777,val,0.7123308294350013,0.0948041507363643
11,50000,[320|320|320|320|320],effn_w5_d320,777,test,0.7305894433135901,0.09565053495452666
